,artist,title,albumart,time,channel
0,Bruno Mars,That's What I Like,http://www.siriusxm.com/albumart/Live/0400/brunomars_58C80E78_m.jpg,1493352723.3899207,SiriusXM Hits 1
1,James Arthur,Say You Won't Let Go,http://www.siriusxm.com/albumart/Live/0400/jamesarthur_58B69EF7_m.jpg,1493353440.716398,SiriusXM Hits 1
2,Chainsmokers,Paris,http://www.siriusxm.com/albumart/Live/0400/chainsmokers_58A83CE8_m.jpg,1493353566.1105778,SiriusXM Hits 1
3,Selena Gomez/Kygo,It Ain't Me,http://www.siriusxm.com/albumart/Live/0430/selenagomezk_58AE42A3_m.jpg,1493353952.6809778,SiriusXM Hits 1
4,Julia Michaels,Issues,http://www.siriusxm.com/albumart/Live/0430/juliamichael_58783EB5_m.jpg,1493354215.3589005,SiriusXM Hits 1
5,Ed Sheeran,Castle On The Hill,http://www.siriusxm.com/albumart/Live/0430/edsheeran_5870714F_m.jpg,1493354396.2071314,SiriusXM Hits 1
6,@MikeyPiff,FB/SiriusXMHits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493354538.3567662,SiriusXM Hits 1
7,Bruno Mars,24K Magic,http://www.siriusxm.com/albumart/Live/0430/brunomars_580AA038_m.jpg,1493354612.8532774,SiriusXM Hits 1
8,Zedd/Alessia Cara,Stay,http://www.siriusxm.com/albumart/Live/0430/zeddalessiac_58B093BC_m.jpg,1493355209.9132485,SiriusXM Hits 1
9,One Direction,Drag Me Down,http://www.siriusxm.com/albumart/Live/0430/onedirection_564864EF_m.jpg,1493355327.6204908,SiriusXM Hits 1
10,Wutchuwant Crew,siriusxm.com/hits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493355508.399851,SiriusXM Hits 1
11,Lorde,Green Light,http://www.siriusxm.com/albumart/Live/0430/lorde_58BE829D_m.jpg,1493355568.3152564,SiriusXM Hits 1
12,AJR,Weak,http://www.siriusxm.com/albumart/Live/0500/ajr_58929C7F_m.jpg,1493355748.2690356,SiriusXM Hits 1
13,Ed Sheeran,Shape Of You,http://www.siriusxm.com/albumart/Live/0500/edsheeran_58815DB6_m.jpg,1493355988.3169775,SiriusXM Hits 1
14,The Chainsmokers/Halsey,Closer,http://www.siriusxm.com/albumart/Live/0500/thechainsmok_57D878ED_m.jpg,1493356228.273208,SiriusXM Hits 1
15,FB/SiriusXMHits1,Trending NOW!,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493356468.297024,SiriusXM Hits 1
16,Train,Play That Song,http://www.siriusxm.com/albumart/Live/0500/train_581BDD11_m.jpg,1493356528.4580054,SiriusXM Hits 1
17,The Vamps/Matoma,All Night,http://www.siriusxm.com/albumart/Live/0500/thevampsmato_5893B63C_m.jpg,1493356768.3677802,SiriusXM Hits 1
18,Bruno Mars,That's What I Like,http://www.siriusxm.com/albumart/Live/0500/brunomars_58C80E78_m.jpg,1493356888.3031929,SiriusXM Hits 1
19,Wutchuwant Crew,siriusxm.com/hits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493357068.2968528,SiriusXM Hits 1
20,Maroon 5,Cold,http://www.siriusxm.com/albumart/Live/0500/maroon5_58A5F7DE_m.jpg,1493357128.2567055,SiriusXM Hits 1
21,Lady Gaga,The Cure,http://www.siriusxm.com/albumart/Live/0500/ladygaga_58F85D58_m.jpg,1493357308.2779648,SiriusXM Hits 1
22,Niall Horan,This Town,http://www.siriusxm.com/albumart/Live/0530/niallhoran_582242D7_m.jpg,1493357488.3199859,SiriusXM Hits 1
23,Clean Bandit/Sean Paul/Anne Marie,Rockabye,http://www.siriusxm.com/albumart/Live/0530/cleanbandits_58CA6C3E_m.jpg,1493357728.2909675,SiriusXM Hits 1
24,Ed Sheeran,Castle On The Hill,http://www.siriusxm.com/albumart/Live/0530/edsheeran_5870714F_m.jpg,1493357968.2779748,SiriusXM Hits 1
25,Wutchuwant Crew,siriusxm.com/hits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493358148.28351,SiriusXM Hits 1
26,Kungs/Ephemerals,I Feel So Bad,http://www.siriusxm.com/albumart/Live/0530/kungsephemer_58E86725_m.jpg,1493358208.2931688,SiriusXM Hits 1
27,Hailee Steinfeld/Grey/Zedd,Starving,http://www.siriusxm.com/albumart/Live/0530/haileesteinf_57F72E30_m.jpg,1493358388.3606384,SiriusXM Hits 1
28,Imagine Dragons,Believer,http://www.siriusxm.com/albumart/Live/0530/imaginedrago_590247DE_m.jpg,1493358568.3353755,SiriusXM Hits 1
29,Chainsmokers,Paris,http://www.siriusxm.com/albumart/Live/0530/chainsmokers_58A83CE8_m.jpg,1493358748.2755234,SiriusXM Hits 1
30,MAX/Gnash,Lights Down Low,http://www.siriusxm.com/albumart/Live/0530/maxgnash_586F01C1_m.jpg,1493358928.358317,SiriusXM Hits 1
31,Fifth Harmony,Worth It,http://www.siriusxm.com/albumart/Live/0530/fifthharmony_581EF298_m.jpg,1493359168.2846074,SiriusXM Hits 1
32,Adele,Water Under The Bridge,http://www.siriusxm.com/albumart/Live/0600/adele_582CEC79_m.jpg,1493359348.5522704,SiriusXM Hits 1
33,Calvin Harris/Frank Ocean/Migos,Slide,http://www.siriusxm.com/albumart/Live/0600/calvinharris_58B8FBCB_m.jpg,1493359588.2755787,SiriusXM Hits 1
34,Shawn Mendes,Mercy,http://www.siriusxm.com/albumart/Live/0600/shawnmendes_58021727_m.jpg,1493359768.4556682,SiriusXM Hits 1
35,Zedd/Alessia Cara,Stay,http://www.siriusxm.com/albumart/Live/0600/zeddalessiac_58B093BC_m.jpg,1493360008.3112388,SiriusXM Hits 1
36,Linkin Park/Kiiara,Heavy,http://www.siriusxm.com/albumart/Live/0600/linkinparkki_58AD28F0_m.jpg,1493360248.439327,SiriusXM Hits 1
37,@MikeyPiff,FB/SiriusXMHits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493360368.3268626,SiriusXM Hits 1
38,Steve Aoki/Louis Tomlinson,Just Hold On,http://www.siriusxm.com/albumart/Live/0600/steveaokilou_5859D85F_m.jpg,1493360428.2839859,SiriusXM Hits 1
39,Chainsmokers/Coldplay,Something Just Like This,http://www.siriusxm.com/albumart/Live/0600/chainsmokers_58C328AC_m.jpg,1493360608.2887244,SiriusXM Hits 1
40,Ed Sheeran,Shape Of You,http://www.siriusxm.com/albumart/Live/0600/edsheeran_58815DB6_m.jpg,1493360848.285289,SiriusXM Hits 1
41,@MikeyPiff,FB/SiriusXMHits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493361028.2899694,SiriusXM Hits 1
42,Flo Rida/99 Percent,Cake,http://www.siriusxm.com/albumart/Live/0630/florida99per_58FBE788_m.jpg,1493361088.2948482,SiriusXM Hits 1
43,Panic! At The Disco,L.A. Devotee,http://www.siriusxm.com/albumart/Live/0630/panicatthedi_5893B631_m.jpg,1493361208.2836275,SiriusXM Hits 1
44,Ellie Goulding,On My Mind,http://www.siriusxm.com/albumart/Live/0630/elliegouldin_561BBC2A_m.jpg,1493361448.2797053,SiriusXM Hits 1
45,Charlie Puth,Attention,http://www.siriusxm.com/albumart/Live/0630/charlieputh_58F97557_m.jpg,1493361628.295778,SiriusXM Hits 1
46,@MikeyPiff,FB/SiriusXMHits1,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493361808.2937913,SiriusXM Hits 1
47,Bruno Mars,That's What I Like,http://www.siriusxm.com/albumart/Live/0630/brunomars_58C80E78_m.jpg,1493361868.26798,SiriusXM Hits 1
48,Maroon 5,Don't Wanna Know,http://www.siriusxm.com/albumart/Live/0630/maroon5_5802172D_m.jpg,1493362048.2983472,SiriusXM Hits 1
49,The Chainsmokers/Halsey,Closer,http://www.siriusxm.com/albumart/Live/0630/thechainsmok_57D878ED_m.jpg,1493362228.2877688,SiriusXM Hits 1
50,Katy Perry,Roar,http://www.siriusxm.com/albumart/Live/0630/katyperry_58136D1B_m.jpg,1493362468.3111405,SiriusXM Hits 1
51,Ed Sheeran,Castle On The Hill,http://www.siriusxm.com/albumart/Live/0630/edsheeran_5870714F_m.jpg,1493362708.3155887,SiriusXM Hits 1
52,AJR,Weak,http://www.siriusxm.com/albumart/Live/0700/ajr_58929C7F_m.jpg,1493362948.283832,SiriusXM Hits 1
53,James Arthur,Say You Won't Let Go,http://www.siriusxm.com/albumart/Live/0700/jamesarthur_58B69EF7_m.jpg,1493363128.2845721,SiriusXM Hits 1
54,Zedd/Alessia Cara,Stay,http://www.siriusxm.com/albumart/Live/0700/zeddalessiac_58B093BC_m.jpg,1493363368.2945325,SiriusXM Hits 1
55,Fitz & The Tantrums,HandClap,http://www.siriusxm.com/albumart/Live/0700/fitzthetantr_5835183E_m.jpg,1493363608.3163133,SiriusXM Hits 1
56,Shawn Mendes,Mercy,http://www.siriusxm.com/albumart/Live/0700/shawnmendes_58021727_m.jpg,1493363788.2814994,SiriusXM Hits 1
57,Fall Out Boy,Young & Menace,http://www.siriusxm.com/albumart/Live/0700/falloutboy_59022142_m.jpg,1493363968.303705,SiriusXM Hits 1
58,Chainsmokers,Paris,http://www.siriusxm.com/albumart/Live/0700/chainsmokers_58A83CE8_m.jpg,1493364208.3089564,SiriusXM Hits 1
59,Coldplay,Hymn For The Weekend,http://www.siriusxm.com/albumart/Live/0700/coldplay_584E7088_m.jpg,1493364388.4387355,SiriusXM Hits 1
60,Shawn Mendes,There's Nothing Holdin' Me Back,http://www.siriusxm.com/albumart/Live/0700/shawnmendes_58F8325E_m.jpg,1493364568.4572566,SiriusXM Hits 1
61,Selena Gomez/Kygo,It Ain't Me,http://www.siriusxm.com/albumart/Live/0730/selenagomezk_58AE42A3_m.jpg,1493364748.4919472,SiriusXM Hits 1
62,Ed Sheeran,Shape Of You,http://www.siriusxm.com/albumart/Live/0730/edsheeran_58815DB6_m.jpg,1493364928.2701955,SiriusXM Hits 1
63,Julia Michaels,Issues,http://www.siriusxm.com/albumart/Live/0730/juliamichael_58783EB5_m.jpg,1493365168.2719588,SiriusXM Hits 1
64,Jon Bellion,All Time Low,http://www.siriusxm.com/albumart/Live/0730/jonbellion_58DABE3F_m.jpg,1493365348.317163,SiriusXM Hits 1
65,Maroon 5,Cold,http://www.siriusxm.com/albumart/Live/0730/maroon5_58A5F7DE_m.jpg,1493365528.2770047,SiriusXM Hits 1
66,Bruno Mars,That's What I Like,http://www.siriusxm.com/albumart/Live/0730/brunomars_58C80E78_m.jpg,1493365768.2474506,SiriusXM Hits 1
67,The Vamps/Matoma,All Night,http://www.siriusxm.com/albumart/Live/0730/thevampsmato_5893B63C_m.jpg,1493365948.2886233,SiriusXM Hits 1
